treatment,No_of_taxa,Alignment_length,Parsimony_informative_sites,Missing_percent
phyluce,6,321,35,8.93
phyluce,3,2835,0,35.473
phyluce,63,933,126,25.817
phyluce,4,383,12,2.611
phyluce,12,611,38,46.631
phyluce,5,617,5,8.006
phyluce,10,408,26,22.745
phyluce,5,1723,20,41.346
phyluce,44,484,74,18.426
phyluce,57,705,32,15.974
phyluce,6,329,6,21.378
phyluce,53,742,135,36.23
phyluce,5,752,17,17.367
phyluce,17,587,49,42.259
phyluce,5,547,9,22.742
phyluce,7,308,21,15.028
phyluce,4,110,8,0.227
phyluce,4,343,2,13.338
phyluce,3,398,0,10.637
phyluce,58,1638,98,67.896
phyluce,13,1327,50,16.869
phyluce,4,415,6,4.699
phyluce,57,989,77,25.959
phyluce,9,418,25,30.755
phyluce,17,544,29,20.934
phyluce,4,363,20,6.405
phyluce,10,567,33,17.213
phyluce,39,930,130,24.709
phyluce,5,329,29,10.334
phyluce,52,944,126,25.65
phyluce,5,392,20,21.531
phyluce,3,523,0,11.345
phyluce,11,398,26,15.372
phyluce,13,537,52,12.792
phyluce,60,4102,87,76.745
phyluce,3,1061,0,25.888
phyluce,59,1233,133,55.03
phyluce,33,665,55,8.859
phyluce,60,1335,114,55.82
phyluce,46,697,78,13.468
phyluce,3,623,0,23.435
phyluce,5,675,3,24.267
phyluce,5,537,9,15.642
phyluce,5,482,33,7.718
phyluce,4,434,9,24.827
phyluce,18,891,46,41.614
phyluce,3,604,0,23.4
phyluce,4,363,2,12.328
phyluce,15,596,19,14.709
phyluce,5,619,3,22.553
phyluce,6,486,11,11.728
phyluce,23,659,62,14.62
phyluce,55,1423,80,46.064
phyluce,4,186,22,11.962
phyluce,62,1034,55,41.461
phyluce,6,325,74,13.487
phyluce,4,289,1,15.138
phyluce,48,1000,70,46.65
phyluce,48,1884,91,66.546
phyluce,9,777,69,28.714
phyluce,5,463,14,4.924
phyluce,12,521,38,11.516
phyluce,5,908,8,23.59
phyluce,6,266,33,14.662
phyluce,28,225,65,1.762
phyluce,5,1288,7,47.624
phyluce,50,868,146,48.452
phyluce,10,1484,33,10.31
phyluce,11,383,31,7.785
phyluce,3,291,0,3.207
phyluce,61,789,150,26.163
phyluce,4,1307,4,6.236
phyluce,6,389,11,12.211
phyluce,9,442,24,15.561
phyluce,5,436,8,9.358
phyluce,48,803,63,36.766
phyluce,39,739,68,24.139
phyluce,59,846,92,23.406
phyluce,4,522,1,24.665
phyluce,18,1173,70,48.451
phyluce,7,656,31,12.304
phyluce,3,431,0,12.993
phyluce,39,762,35,9.96
phyluce,5,312,7,15.513
phyluce,7,615,54,21.301
phyluce,40,793,85,13.222
phyluce,4,321,5,14.019
phyluce,7,421,26,16.491
phyluce,53,1628,301,33.602
phyluce,19,983,62,27.023
phyluce,18,707,28,23.558
phyluce,5,485,2,17.113
phyluce,62,702,79,25.28
phyluce,3,354,0,11.582
phyluce,3,348,0,17.529
phyluce,13,528,29,12.238
phyluce,55,1574,78,64.182
phyluce,61,570,54,13.808
phyluce,19,793,43,13.234
phyluce,20,585,29,13.308
phyluce,63,886,115,24.72
phyluce,4,718,2,16.191
phyluce,4,409,1,7.213
phyluce,14,441,34,25.17
phyluce,7,363,2,12.003
phyluce,7,770,31,34.508
phyluce,3,400,0,18.5
phyluce,61,737,127,20.293
phyluce,4,482,18,8.61
phyluce,58,2066,66,74.149
phyluce,4,253,42,0
phyluce,9,411,21,13.193
phyluce,57,839,88,22.755
phyluce,12,381,40,12.839
phyluce,5,692,19,18.121
phyluce,38,1742,168,33.869
phyluce,14,307,27,15.519
phyluce,7,385,13,6.197
phyluce,49,1422,141,21.832
phyluce,31,792,56,48.269
phyluce,25,685,38,15.434
phyluce,56,906,107,24.732
phyluce,3,487,0,6.229
phyluce,4,368,1,20.312
phyluce,4,957,5,5.773
phyluce,7,535,15,11.162
phyluce,3,1954,0,29.904
phyluce,56,1118,174,45.854
phyluce,7,316,21,5.967
phyluce,62,1142,117,61.566
phyluce,9,459,38,11.135
phyluce,20,804,39,53.937
phyluce,11,1067,58,12.669
phyluce,20,462,41,17.532
phyluce,22,599,38,18.979
phyluce,31,535,75,29.298
phyluce,7,356,15,9.069
phyluce,3,1054,0,26.66
phyluce,44,571,52,12.912
phyluce,57,1093,151,39.324
phyluce,61,1158,85,52.005
phyluce,6,512,4,9.245
phyluce,58,2156,78,74.703
phyluce,59,816,95,16.939
phyluce,62,1110,50,43.184
phyluce,3,433,0,15.55
phyluce,4,396,6,7.197
phyluce,12,1101,19,52.869
phyluce,3,362,0,11.234
phyluce,8,460,8,10.38
phyluce,4,842,3,15.321
phyluce,6,299,7,13.88
phyluce,9,946,39,29.669
phyluce,3,482,0,7.192
phyluce,7,357,7,6.963
phyluce,5,725,8,21.517
phyluce,30,888,80,13.176
phyluce,12,766,31,24.423
phyluce,4,513,29,7.505
phyluce,3,537,0,11.608
phyluce,3,328,0,6.199
phyluce,63,619,44,9.957
phyluce,3,671,0,37.556
phyluce,35,759,96,30.999
phyluce,57,847,111,30.518
phyluce,68,1952,160,66.243
phyluce,10,960,27,38.302
phyluce,6,503,10,7.157
phyluce,3,583,0,14.237
phyluce,27,717,73,17.997
phyluce,31,622,83,8.365
phyluce,26,706,34,22.064
phyluce,42,636,58,30.952
phyluce,50,822,73,25.287
phyluce,9,386,24,5.469
phyluce,54,868,76,39.704
phyluce,6,343,9,6.414
phyluce,4,724,7,11.36
phyluce,11,1774,30,25.136
phyluce,20,637,150,27.677
phyluce,5,508,14,11.535
phyluce,5,395,7,10.076
phyluce,7,565,20,13.123
phyluce,60,752,78,17.074
phyluce,30,743,46,17.981
phyluce,11,316,34,6.53
phyluce,19,663,39,16.417
phyluce,20,684,29,10.811
phyluce,24,590,65,15.106
phyluce,21,1519,83,22.863
phyluce,9,372,23,21.774
phyluce,5,784,3,27.117
phyluce,61,2098,64,79.489
phyluce,52,1369,123,24.277
phyluce,36,813,38,11.07
phyluce,54,1255,91,54.703
phyluce,43,599,84,20.907
phyluce,5,485,15,19.216
phyluce,3,547,0,15.844
phyluce,5,288,7,8.819
phyluce,62,1095,76,43.319
phyluce,5,414,8,20.193
phyluce,5,675,11,23.437
phyluce,8,370,29,12.872
phyluce,3,376,0,11.968
phyluce,9,1179,62,47.187
phyluce,4,493,8,6.136
phyluce,8,1641,12,11.913
phyluce,5,430,13,20.605
phyluce,60,6566,144,89.781
phyluce,22,1004,59,48.909
phyluce,56,679,66,14.041
phyluce,9,944,39,18.55
phyluce,5,694,11,21.095
phyluce,8,973,32,57.297
phyluce,3,787,0,11.182
phyluce,57,843,53,14.312
phyluce,59,630,71,12.717
phyluce,6,510,18,9.085
phyluce,7,342,21,5.973
phyluce,63,1103,65,37.392
phyluce,11,1254,30,78.15
phyluce,6,527,14,26.85
phyluce,13,348,11,13.042
phyluce,59,732,61,23.567
phyluce,46,1553,116,35.252
phyluce,35,663,50,24.421
phyluce,6,359,14,16.481
phyluce,3,374,0,5.793
phyluce,55,886,112,39.111
phyluce,58,744,103,22.627
phyluce,3,452,0,21.018
phyluce,62,873,70,15.061
phyluce,4,320,8,4.922
phyluce,8,672,8,24.833
phyluce,4,274,2,8.12
phyluce,4,422,1,2.429
phyluce,11,578,37,19.157
