treatment,No_of_taxa,Alignment_length,Missing_percent,Parsimony_informative_sites
total_noParalogs,50,390,59.723,8
total_noParalogs,5,483,44.72,20
total_noParalogs,6,228,1.096,3
total_noParalogs,23,252,19.41,37
total_noParalogs,12,237,1.899,17
total_noParalogs,50,387,35.132,43
total_noParalogs,40,283,23.171,61
total_noParalogs,51,171,5.607,5
total_noParalogs,11,180,10.455,10
total_noParalogs,15,620,7.387,53
total_noParalogs,46,444,42.318,39
total_noParalogs,51,444,6.134,45
total_noParalogs,37,539,27.779,32
total_noParalogs,6,213,9.155,8
total_noParalogs,13,441,7.64,20
total_noParalogs,3,225,24,0
total_noParalogs,44,189,6.674,31
total_noParalogs,41,291,4.652,40
total_noParalogs,11,282,11.315,58
total_noParalogs,13,243,8.832,6
total_noParalogs,13,351,19.461,16
total_noParalogs,5,456,9.342,4
total_noParalogs,13,270,7.009,53
total_noParalogs,6,279,6.989,8
total_noParalogs,4,174,13.362,1
total_noParalogs,5,567,22.116,40
total_noParalogs,8,216,2.083,8
total_noParalogs,3,171,0,0
total_noParalogs,30,489,15.971,83
total_noParalogs,28,323,8.149,33
total_noParalogs,10,303,6.238,24
total_noParalogs,41,213,3.263,14
total_noParalogs,33,276,6.028,34
total_noParalogs,42,474,57.309,32
total_noParalogs,8,1053,45.762,61
total_noParalogs,49,573,36.639,84
total_noParalogs,42,496,9.505,96
total_noParalogs,6,168,9.821,3
total_noParalogs,22,294,16.095,32
total_noParalogs,10,363,3.14,18
total_noParalogs,8,216,7.812,38
total_noParalogs,23,219,1.489,11
total_noParalogs,7,123,15.679,14
total_noParalogs,38,174,7.396,20
total_noParalogs,21,129,2.879,16
total_noParalogs,50,628,51.847,100
total_noParalogs,29,297,25.078,12
total_noParalogs,30,405,43.309,129
total_noParalogs,13,177,7.432,34
total_noParalogs,27,384,10.59,44
total_noParalogs,45,201,4.411,10
total_noParalogs,11,243,9.428,22
total_noParalogs,12,306,3.84,43
total_noParalogs,24,147,9.779,4
total_noParalogs,18,393,5.556,17
total_noParalogs,12,690,44.457,31
total_noParalogs,32,1001,49.248,57
total_noParalogs,16,282,4.787,18
total_noParalogs,9,255,7.712,8
total_noParalogs,34,270,16.471,34
total_noParalogs,36,1110,42.77,280
total_noParalogs,46,408,6.841,50
total_noParalogs,18,453,6.659,24
total_noParalogs,3,126,0,0
total_noParalogs,6,201,13.682,5
total_noParalogs,8,150,6.75,6
total_noParalogs,2,159,0,0
total_noParalogs,8,174,7.112,8
total_noParalogs,19,193,3.709,9
total_noParalogs,11,168,5.519,13
total_noParalogs,10,213,1.69,8
total_noParalogs,11,123,0.443,5
total_noParalogs,30,414,24.928,39
total_noParalogs,5,312,2.308,9
total_noParalogs,43,318,40.829,21
total_noParalogs,36,249,18.407,18
total_noParalogs,3,321,1.558,0
total_noParalogs,23,348,1.274,29
total_noParalogs,42,114,0,4
total_noParalogs,5,117,4.103,1
total_noParalogs,2,189,21.429,0
total_noParalogs,8,618,15.352,36
total_noParalogs,34,147,6.543,13
total_noParalogs,19,1118,51.925,139
total_noParalogs,17,271,5.058,25
total_noParalogs,2,90,1.667,0
total_noParalogs,17,210,0,10
total_noParalogs,38,126,0.815,13
total_noParalogs,13,117,0,3
total_noParalogs,2,132,0,0
total_noParalogs,12,292,18.664,58
total_noParalogs,36,156,1.335,7
total_noParalogs,31,363,9.437,87
total_noParalogs,46,360,9.076,79
total_noParalogs,6,444,32.883,54
total_noParalogs,5,279,37.204,3
total_noParalogs,2,591,19.289,0
total_noParalogs,32,609,23.137,110
total_noParalogs,13,210,0.989,12
total_noParalogs,48,1269,63.431,172
total_noParalogs,22,177,3.313,33
total_noParalogs,51,378,6.194,54
total_noParalogs,50,357,3.983,31
total_noParalogs,5,180,4.667,5
total_noParalogs,47,282,45.224,23
total_noParalogs,17,471,7.793,134
total_noParalogs,21,384,11.086,49
total_noParalogs,8,192,11.719,10
total_noParalogs,3,297,12.795,0
total_noParalogs,5,276,12.391,2
total_noParalogs,13,418,35.186,22
total_noParalogs,14,132,0.487,7
total_noParalogs,28,297,41.558,71
total_noParalogs,18,267,2.934,18
total_noParalogs,4,189,22.222,3
total_noParalogs,46,144,0.453,3
total_noParalogs,16,321,40.713,8
total_noParalogs,3,318,21.069,0
total_noParalogs,21,228,2.569,17
total_noParalogs,5,162,2.593,5
total_noParalogs,4,531,20.339,6
total_noParalogs,18,276,6.099,16
total_noParalogs,42,384,16.22,42
total_noParalogs,7,168,2.551,8
total_noParalogs,24,1243,48.24,129
total_noParalogs,21,378,37.528,39
total_noParalogs,16,519,4.66,43
total_noParalogs,28,126,6.973,13
total_noParalogs,7,414,11.801,15
total_noParalogs,10,204,0,16
total_noParalogs,25,1089,42.468,66
total_noParalogs,5,168,0,4
total_noParalogs,7,363,34.357,14
total_noParalogs,17,174,0.203,21
total_noParalogs,25,354,0.508,36
total_noParalogs,9,528,15.909,29
total_noParalogs,47,219,10.58,9
total_noParalogs,5,267,22.022,9
total_noParalogs,7,345,23.602,19
total_noParalogs,4,252,4.167,0
total_noParalogs,4,321,9.346,6
total_noParalogs,5,288,0.208,5
total_noParalogs,4,297,19.697,0
total_noParalogs,3,264,13.258,0
total_noParalogs,35,732,44.438,101
total_noParalogs,3,318,15.409,0
total_noParalogs,22,198,16.667,66
total_noParalogs,41,612,12.243,205
total_noParalogs,11,372,15.029,17
total_noParalogs,7,345,12.919,14
total_noParalogs,23,222,3.173,100
total_noParalogs,34,852,28.863,52
total_noParalogs,3,327,10.398,0
total_noParalogs,5,216,8.333,5
total_noParalogs,51,232,22.084,12
total_noParalogs,34,873,34.344,240
total_noParalogs,3,258,10.853,0
total_noParalogs,4,504,11.31,9
total_noParalogs,34,174,0.913,44
total_noParalogs,7,306,4.902,15
total_noParalogs,6,228,3.728,5
total_noParalogs,25,276,7.739,18
total_noParalogs,9,297,28.283,14
total_noParalogs,35,480,47.982,19
total_noParalogs,22,177,3.621,9
total_noParalogs,3,192,0.521,0
total_noParalogs,18,195,8.974,13
total_noParalogs,6,153,5.229,3
total_noParalogs,27,408,7.135,22
total_noParalogs,10,384,5,33
total_noParalogs,12,120,1.667,7
total_noParalogs,6,144,0,15
total_noParalogs,48,273,29.121,20
total_noParalogs,7,192,0,37
total_noParalogs,5,342,11.93,10
total_noParalogs,6,216,14.815,1
total_noParalogs,7,123,0,6
total_noParalogs,48,1991,54.505,231
total_noParalogs,4,357,0.21,1
total_noParalogs,37,616,8.481,74
total_noParalogs,38,396,21.83,28
total_noParalogs,35,195,0.527,10
total_noParalogs,14,225,2.286,31
total_noParalogs,7,159,22.102,13
total_noParalogs,9,222,10.811,38
total_noParalogs,31,1108,62.828,91
total_noParalogs,16,564,30.652,64
total_noParalogs,22,339,14.2,24
total_noParalogs,28,201,16.844,20
total_noParalogs,12,171,1.608,11
total_noParalogs,51,681,17.12,99
total_noParalogs,4,153,0,0
total_noParalogs,2,456,7.237,0
total_noParalogs,7,132,0,11
total_noParalogs,4,222,1.689,0
total_noParalogs,13,393,30.006,55
total_noParalogs,6,442,31.335,21
total_noParalogs,36,471,9.855,106
total_noParalogs,26,591,4.764,33
total_noParalogs,3,279,5.376,0
total_noParalogs,22,558,5.474,23
total_noParalogs,8,371,29.144,17
total_noParalogs,11,354,10.786,19
total_noParalogs,22,813,39.165,58
total_noParalogs,2,423,3.901,0
total_noParalogs,5,465,8,9
total_noParalogs,10,390,7.308,28
total_noParalogs,8,231,0.812,5
total_noParalogs,8,1098,19.74,80
total_noParalogs,3,726,0,0
total_noParalogs,28,318,23.686,66
total_noParalogs,44,321,0.977,38
total_noParalogs,5,501,31.737,1
total_noParalogs,6,393,9.542,45
total_noParalogs,4,213,15.845,1
total_noParalogs,3,159,10.063,0
total_noParalogs,4,261,13.218,1
total_noParalogs,6,540,34.907,40
total_noParalogs,17,431,4.272,69
total_noParalogs,31,525,54.249,22
total_noParalogs,6,270,19.074,27
total_noParalogs,18,120,7.917,25
total_noParalogs,11,117,4.895,10
total_noParalogs,20,260,4.404,11
total_noParalogs,25,171,1.053,12
total_noParalogs,7,276,14.286,10
total_noParalogs,13,318,5.37,43
total_noParalogs,29,1832,62.912,195
total_noParalogs,21,321,42.145,15
total_noParalogs,44,485,9.831,71
total_noParalogs,8,228,3.618,13
total_noParalogs,14,852,24.12,118
total_noParalogs,4,672,31.585,10
total_noParalogs,19,204,6.966,21
total_noParalogs,19,336,7.472,53
total_noParalogs,4,420,0,2
total_noParalogs,9,198,5.892,9
total_noParalogs,16,273,9.821,77
total_noParalogs,8,543,51.174,18
total_noParalogs,16,735,10.995,31
total_noParalogs,5,231,2.338,2
total_noParalogs,7,258,8.14,8
total_noParalogs,16,210,2.054,26
total_noParalogs,7,690,49.006,27
total_noParalogs,14,156,0.824,12
total_noParalogs,10,276,2.609,14
total_noParalogs,5,150,0,1
total_noParalogs,50,357,31.731,53
total_noParalogs,46,415,21.126,48
total_noParalogs,47,438,15.098,46
total_noParalogs,13,353,35.672,39
total_noParalogs,41,1284,55.38,200
total_noParalogs,24,690,12.554,44
total_noParalogs,19,462,10.663,42
total_noParalogs,3,252,7.937,0
total_noParalogs,43,339,35.892,65
total_noParalogs,11,512,47.159,61
total_noParalogs,38,495,12.297,63
total_noParalogs,24,159,0.472,22
total_noParalogs,48,379,43.849,98
total_noParalogs,16,291,3.222,10
total_noParalogs,15,283,3.392,19
total_noParalogs,19,114,2.493,2
total_noParalogs,18,204,18.464,8
total_noParalogs,3,165,0,0
total_noParalogs,36,414,21.236,56
total_noParalogs,45,201,2.355,14
total_noParalogs,35,150,0.171,9
total_noParalogs,39,295,28.083,25
total_noParalogs,15,186,18.925,24
total_noParalogs,9,507,4.799,34
total_noParalogs,29,264,2.273,13
total_noParalogs,48,696,5.55,64
total_noParalogs,8,219,6.849,14
total_noParalogs,18,234,4.131,14
total_noParalogs,13,159,0,46
total_noParalogs,11,351,23.621,22
total_noParalogs,7,332,15.835,38
total_noParalogs,33,618,6.443,102
total_noParalogs,6,263,29.087,2
total_noParalogs,49,123,0.796,38
total_noParalogs,18,249,4.351,15
total_noParalogs,46,504,14.027,35
total_noParalogs,19,303,8.077,30
total_noParalogs,24,183,5.191,18
total_noParalogs,13,186,9.429,13
total_noParalogs,49,354,11.259,90
total_noParalogs,9,186,0.717,29
total_noParalogs,3,246,16.667,0
total_noParalogs,20,646,31.014,35
total_noParalogs,2,114,0,0
total_noParalogs,20,360,9.792,40
total_noParalogs,28,114,0,26
total_noParalogs,27,399,36.229,23
total_noParalogs,22,186,0.806,31
total_noParalogs,49,193,45.183,23
total_noParalogs,4,297,0,9
total_noParalogs,33,252,1.984,23
total_noParalogs,7,540,15.079,5
total_noParalogs,3,123,1.626,0
total_noParalogs,3,114,0.877,0
total_noParalogs,35,216,0.754,13
total_noParalogs,32,234,23.878,12
total_noParalogs,10,774,20.698,92
total_noParalogs,3,270,11.852,0
total_noParalogs,37,180,0,21
total_noParalogs,36,204,0.408,22
total_noParalogs,50,1722,67.436,55
total_noParalogs,2,162,0.926,0
total_noParalogs,2,117,2.564,0
total_noParalogs,4,174,0,4
total_noParalogs,4,138,0.543,0
total_noParalogs,14,141,3.343,4
total_noParalogs,3,204,25.98,0
total_noParalogs,24,726,51.222,119
total_noParalogs,50,213,6.648,34
total_noParalogs,2,147,2.041,0
total_noParalogs,12,282,8.599,21
total_noParalogs,35,114,0.075,3
total_noParalogs,13,571,24.869,24
total_noParalogs,7,210,6.531,26
total_noParalogs,48,321,34.229,61
total_noParalogs,15,367,45.232,20
total_noParalogs,46,490,15.657,85
total_noParalogs,25,1232,51.318,80
total_noParalogs,48,303,1.63,30
total_noParalogs,4,282,13.564,7
total_noParalogs,19,411,11.871,46
total_noParalogs,44,351,2.04,21
total_noParalogs,22,156,0,13
total_noParalogs,9,240,0.694,19
total_noParalogs,16,696,11.288,57
total_noParalogs,31,432,12.858,139
total_noParalogs,9,135,6.667,4
total_noParalogs,2,330,21.818,0
total_noParalogs,35,174,2.759,9
total_noParalogs,50,303,42.337,43
total_noParalogs,19,303,9.797,40
total_noParalogs,21,459,16.091,72
total_noParalogs,30,468,19.829,77
total_noParalogs,9,279,0,15
total_noParalogs,4,264,11.932,2
total_noParalogs,35,252,2.177,13
total_noParalogs,10,330,9,33
total_noParalogs,22,120,1.705,5
total_noParalogs,18,2049,57.988,262
total_noParalogs,42,186,0.384,8
total_noParalogs,24,261,15.517,15
total_noParalogs,37,944,36.57,46
total_noParalogs,9,153,8.279,20
total_noParalogs,9,219,3.805,12
total_noParalogs,3,384,4.167,0
total_noParalogs,19,213,48.925,4
total_noParalogs,13,309,10.904,31
total_noParalogs,47,150,0.511,7
total_noParalogs,21,121,2.715,13
total_noParalogs,20,315,5.095,17
total_noParalogs,8,270,7.083,11
total_noParalogs,10,237,11.772,29
total_noParalogs,25,633,51.374,49
total_noParalogs,36,441,6.784,39
total_noParalogs,20,408,7.684,27
total_noParalogs,40,738,38.659,53
total_noParalogs,49,1082,57.375,170
total_noParalogs,49,366,47.825,48
total_noParalogs,6,162,0,7
total_noParalogs,26,663,16.498,48
total_noParalogs,23,144,3.714,28
total_noParalogs,12,447,11.857,88
total_noParalogs,22,114,3.828,11
total_noParalogs,14,207,7.453,27
total_noParalogs,50,234,29.179,44
total_noParalogs,41,312,11.257,64
total_noParalogs,29,467,34.741,100
total_noParalogs,23,434,28.952,178
total_noParalogs,22,303,15.797,57
total_noParalogs,7,171,6.266,7
total_noParalogs,45,303,6.711,55
total_noParalogs,36,600,23.681,77
total_noParalogs,19,177,6.869,33
total_noParalogs,7,297,10.678,19
total_noParalogs,5,387,50.388,0
total_noParalogs,31,570,40.781,27
total_noParalogs,46,402,74.173,19
total_noParalogs,43,411,26.413,54
total_noParalogs,49,177,5.396,19
total_noParalogs,11,340,20.107,24
total_noParalogs,33,432,12.689,39
total_noParalogs,3,165,1.212,0
total_noParalogs,7,243,3.351,10
total_noParalogs,43,222,19.642,47
total_noParalogs,29,171,1.391,11
total_noParalogs,5,264,0,21
total_noParalogs,45,720,64.491,64
total_noParalogs,34,171,1.806,21
total_noParalogs,39,576,29.367,105
total_noParalogs,6,135,6.296,2
total_noParalogs,21,723,7.765,174
total_noParalogs,39,551,18.442,51
total_noParalogs,8,162,1.157,12
total_noParalogs,28,741,45.633,35
total_noParalogs,8,204,2.941,11
total_noParalogs,10,162,2.593,6
total_noParalogs,39,219,0.702,16
total_noParalogs,44,141,27.079,24
total_noParalogs,9,237,12.658,5
total_noParalogs,45,664,33.916,149
total_noParalogs,33,475,27.081,49
total_noParalogs,41,405,3.686,97
total_noParalogs,5,162,1.852,0
total_noParalogs,30,654,24.495,80
total_noParalogs,9,231,2.742,30
total_noParalogs,2,228,4.605,0
total_noParalogs,12,357,9.384,31
total_noParalogs,30,708,31.469,95
total_noParalogs,31,189,1.536,6
total_noParalogs,51,243,2.179,26
total_noParalogs,43,594,48.99,33
total_noParalogs,8,153,4.657,7
total_noParalogs,7,165,8.571,12
total_noParalogs,4,123,0,2
total_noParalogs,3,153,0,0
total_noParalogs,9,213,18.623,8
total_noParalogs,37,408,19.952,42
total_noParalogs,10,153,0,9
total_noParalogs,31,150,3.226,11
total_noParalogs,10,219,0,19
total_noParalogs,7,756,19.331,53
total_noParalogs,4,261,9.483,10
total_noParalogs,4,387,19.38,8
total_noParalogs,18,324,30.813,44
total_noParalogs,24,247,32.945,33
total_noParalogs,8,111,1.014,6
total_noParalogs,34,785,54.331,58
total_noParalogs,14,135,0,6
total_noParalogs,6,540,19.907,42
total_noParalogs,6,942,46.762,13
total_noParalogs,5,141,11.064,16
total_noParalogs,3,423,16.548,0
total_noParalogs,20,174,3.707,20
total_noParalogs,33,300,11.788,42
total_noParalogs,5,384,21.406,8
total_noParalogs,36,243,6.036,16
total_noParalogs,32,330,6.733,87
total_noParalogs,20,288,10.104,21
total_noParalogs,42,154,15.074,13
total_noParalogs,24,273,7.372,37
total_noParalogs,17,207,8.014,11
total_noParalogs,23,117,0,1
total_noParalogs,9,171,12.476,20
total_noParalogs,45,279,37.634,16
total_noParalogs,3,412,37.136,0
total_noParalogs,2,324,6.944,0
total_noParalogs,15,444,49.414,66
total_noParalogs,45,480,45.056,96
total_noParalogs,7,144,0,9
total_noParalogs,7,237,8.68,15
total_noParalogs,12,153,3.758,29
total_noParalogs,35,501,14.628,40
total_noParalogs,46,108,0,8
total_noParalogs,5,402,18.955,6
total_noParalogs,10,360,8.167,25
total_noParalogs,4,621,18.72,2
total_noParalogs,43,165,0.677,16
total_noParalogs,8,228,14.638,16
total_noParalogs,44,340,46.116,79
total_noParalogs,13,492,16.792,86
total_noParalogs,4,144,0,1
total_noParalogs,3,228,0,0
total_noParalogs,9,264,4.672,14
total_noParalogs,33,279,25.318,86
total_noParalogs,18,156,0,15
total_noParalogs,72,739,59.021,149
total_noParalogs,71,453,39.11,73
total_noParalogs,68,450,48.863,25
total_noParalogs,70,483,49.166,30
total_noParalogs,61,845,37.806,158
total_noParalogs,70,134,14.382,14
total_noParalogs,70,636,55.478,101
total_noParalogs,71,909,40.213,105
total_noParalogs,62,234,1.654,24
total_noParalogs,73,498,44.141,83
