treatment	No_of_taxa	Alignment_length	Parsimony_informative_sites	Missing_percent
noParalogs	66	219	46	17.331
noParalogs	71	633	68	73.827
noParalogs	73	616	127	35.114
noParalogs	56	315	33	10.935
noParalogs	73	477	19	53.511
noParalogs	73	496	115	30.261
noParalogs	28	741	35	45.633
noParalogs	8	204	11	2.941
noParalogs	10	162	6	2.593
noParalogs	65	1224	98	55.554
noParalogs	64	141	7	0.199
noParalogs	39	219	16	0.702
noParalogs	68	279	31	19.45
noParalogs	60	312	17	1.234
noParalogs	70	297	52	7.532
noParalogs	71	378	61	24.916
noParalogs	44	141	24	27.079
noParalogs	73	968	91	17.023
noParalogs	9	237	5	12.658
noParalogs	64	441	22	46.301
noParalogs	72	501	22	14.854
noParalogs	45	664	149	33.916
noParalogs	68	1526	148	67.921
noParalogs	69	408	28	2.163
noParalogs	58	141	8	0.293
noParalogs	33	475	49	27.081
noParalogs	41	405	97	3.686
noParalogs	65	642	97	40.036
noParalogs	5	162	0	1.852
noParalogs	30	654	80	24.495
noParalogs	9	231	30	2.742
noParalogs	2	228	0	4.605
noParalogs	12	357	31	9.384
noParalogs	30	708	95	31.469
noParalogs	60	198	43	23.106
noParalogs	73	1172	174	48.318
noParalogs	65	513	101	14.899
noParalogs	31	189	6	1.536
noParalogs	70	428	16	56.332
noParalogs	72	1065	141	41.956
noParalogs	67	322	14	18.402
noParalogs	69	579	63	57.49
noParalogs	51	243	26	2.179
noParalogs	70	386	70	25.422
noParalogs	66	261	39	11.442
noParalogs	71	857	78	66.104
noParalogs	43	594	33	48.99
noParalogs	8	153	7	4.657
noParalogs	68	403	71	35.608
noParalogs	69	207	13	2.184
noParalogs	7	165	12	8.571
noParalogs	61	279	28	2.01
noParalogs	61	1076	131	41.203
noParalogs	73	965	255	48.198
noParalogs	69	306	68	39.912
noParalogs	72	612	146	45.084
noParalogs	65	748	56	69.204
noParalogs	4	123	2	0
noParalogs	56	615	25	51.35
noParalogs	72	1239	231	48.907
noParalogs	3	153	0	0
noParalogs	53	827	69	28.756
noParalogs	71	453	55	33.719
noParalogs	67	156	27	4.908
noParalogs	9	213	8	18.623
noParalogs	37	408	42	19.952
noParalogs	10	153	9	0
noParalogs	60	231	9	2.078
noParalogs	52	246	8	5.933
noParalogs	31	150	11	3.226
noParalogs	10	219	19	0
noParalogs	7	756	53	19.331
noParalogs	72	396	23	24.726
noParalogs	4	261	10	9.483
noParalogs	4	387	8	19.38
noParalogs	18	324	44	30.813
noParalogs	24	247	33	32.945
noParalogs	8	111	6	1.014
noParalogs	34	785	58	54.331
noParalogs	66	309	20	36.555
noParalogs	14	135	6	0
noParalogs	70	411	19	14.411
noParalogs	6	540	42	19.907
noParalogs	71	408	36	30.199
noParalogs	72	174	25	8.836
noParalogs	6	942	13	46.762
noParalogs	72	660	152	38.782
noParalogs	72	216	20	40.914
noParalogs	5	141	16	11.064
noParalogs	3	423	0	16.548
noParalogs	64	198	17	4.096
noParalogs	71	555	28	64.469
noParalogs	72	529	100	39.619
noParalogs	69	264	12	1.943
noParalogs	20	174	20	3.707
noParalogs	69	474	76	45.707
noParalogs	33	300	42	11.788
noParalogs	59	930	56	72.253
noParalogs	68	681	62	35.106
noParalogs	71	507	52	56.621
noParalogs	5	384	8	21.406
noParalogs	71	327	81	43.145
noParalogs	71	278	70	20.721
noParalogs	36	243	16	6.036
noParalogs	73	759	101	56.809
noParalogs	32	330	87	6.733
noParalogs	67	387	45	4.235
noParalogs	66	174	15	17.346
noParalogs	20	288	21	10.104
noParalogs	66	276	40	33.053
noParalogs	42	154	13	15.074
noParalogs	24	273	37	7.372
noParalogs	17	207	11	8.014
noParalogs	72	612	151	11.731
noParalogs	23	117	1	0
noParalogs	72	616	38	42.627
noParalogs	73	825	75	44.463
noParalogs	73	1211	235	46.592
noParalogs	52	294	30	44.604
noParalogs	9	171	20	12.476
noParalogs	45	279	16	37.634
noParalogs	70	655	136	49.788
noParalogs	3	412	0	37.136
noParalogs	52	624	36	8.765
noParalogs	2	324	0	6.944
noParalogs	72	384	102	17.48
noParalogs	65	770	126	61.536
noParalogs	15	444	66	49.414
noParalogs	70	240	60	32.446
noParalogs	45	480	96	45.056
noParalogs	7	144	9	0
noParalogs	7	237	15	8.68
noParalogs	64	924	88	58.969
noParalogs	55	672	306	12.792
noParalogs	69	822	44	23.887
noParalogs	12	153	29	3.758
noParalogs	69	501	32	41.621
noParalogs	35	501	40	14.628
noParalogs	46	108	8	0
noParalogs	68	177	11	29.163
noParalogs	72	473	120	37.993
noParalogs	5	402	6	18.955
noParalogs	71	809	68	41.994
noParalogs	10	360	25	8.167
noParalogs	4	621	2	18.72
noParalogs	72	705	79	66.111
noParalogs	73	956	139	60.336
noParalogs	71	580	35	70.087
noParalogs	73	711	107	43.824
noParalogs	43	165	16	0.677
noParalogs	8	228	16	14.638
noParalogs	44	340	79	46.116
noParalogs	13	492	86	16.792
noParalogs	4	144	1	0
noParalogs	3	228	0	0
noParalogs	70	357	34	29.424
noParalogs	71	589	56	45.63
noParalogs	9	264	14	4.672
noParalogs	33	279	86	25.318
noParalogs	18	156	15	0
noParalogs	66	460	36	51.324
